Date,current_price,portfolio_pnl,position,postion_pnl,capital,holding,action,portfolio_value,sortino,mean3,mean5,mean10,mean20,mean50,std3,std5,std10,std20,std50,sortino_delta,returns,benchmark
2010-02-22,20.7266,-445.5532,24540.2944,-231.9622,14.1524,1184.0,0.0,24554.4468,1.2076,20.7622,20.7853,20.4205,20.2594,,0.1631,0.1197,0.4891,0.4675,,-1.191,0.982177872,0.966392196723
2010-02-23,20.4685,-752.6436,24234.704,-537.5526,12.6524,1184.0,1.0,24247.3564,1.2136,20.605,20.7159,20.5219,20.2514,,0.1297,0.1821,0.3525,0.4621,,-1.2076,0.969894256,0.954358104013
2010-02-24,20.6821,-501.2412,24487.6064,-284.6502,11.1524,1184.0,1.0,24498.7588,1.2358,20.6257,20.6874,20.6056,20.2776,,0.138,0.1717,0.2618,0.4713,,-1.2136,0.979950352,0.964317353152
2010-02-25,20.7266,-448.5532,24540.2944,-231.9622,11.1524,1184.0,0.0,24551.4468,1.2436,20.6257,20.6447,20.6732,20.3105,,0.138,0.1078,0.1755,0.4789,,-1.2358,0.982057872,0.966392196723
2010-02-26,21.0559,-58.662,24930.1856,157.929,11.1524,1184.0,0.0,24941.338,1.2462,20.8215,20.7319,20.7212,20.3671,,0.2042,0.2103,0.2084,0.4974,,-1.2436,0.99765352,0.981746039147
2010-03-01,21.4474,404.874,25393.7216,621.465,11.1524,1184.0,0.0,25404.874,1.2655,21.0766,20.8761,20.8307,20.4552,,0.3609,0.3824,0.2714,0.5255,,-1.2462,1.01619496,1.0
2010-03-02,21.3762,308.7332,0.0,0.0,25308.7332,0.0,2.0,25308.7332,1.2884,21.2932,21.0576,20.8868,20.5139,,0.2086,0.355,0.3212,0.5602,,-1.2655,1.012349328,0.996680250287
2010-03-03,21.2517,308.7332,0.0,0.0,25308.7332,0.0,0.0,25308.7332,1.2774,21.3584,21.1716,20.9295,20.5513,,0.0991,0.2897,0.3399,0.5839,,-1.2884,1.012349328,0.990875350858
2010-03-04,21.1182,308.7332,0.0,0.0,25308.7332,0.0,0.0,25308.7332,1.7367,21.2487,21.2499,20.9473,20.5753,,0.1291,0.1658,0.3451,0.5974,,-1.2774,1.012349328,0.984650820146
2010-03-05,21.5453,308.7332,0.0,0.0,25308.7332,0.0,0.0,25308.7332,2.2293,21.305,21.3478,21.0398,20.6705,,0.2185,0.1671,0.3707,0.5924,,-1.7367,1.012349328,1.00456465586
2010-03-08,21.7767,308.7332,0.0,0.0,25308.7332,0.0,0.0,25308.7332,0.6534,21.4801,21.4136,21.1449,20.7827,,0.3341,0.257,0.4178,0.578,,-2.2293,1.012349328,1.01535384242
2010-03-09,21.7678,308.7332,0.0,0.0,25308.7332,0.0,0.0,25308.7332,-0.2004,21.6966,21.4919,21.2748,20.8983,,0.1311,0.299,0.3849,0.5274,,-0.6534,1.012349328,1.01493887371
